,Phi,p,model,npar,AICc,DeltaAICc,weight,Deviance
19,~time * origin * dis + year,~time + year,Phi(~time * origin * dis + year)p(~time + year),48,13317.46524,0,0.997600414,13221.214
20,~time * origin * dis + I(dis^2) + year,~time + year,Phi(~time * origin * dis + I(dis^2) + year)p(~time + year),54,13329.52536,12.06011676,0.002399582,13221.208
22,~time * origin + origin * dis + year,~time + year,Phi(~time * origin + origin * dis + year)p(~time + year),33,13355.79876,38.33351486,4.73E-09,13289.679
17,~time * origin + origin * diff + year,~time + year,Phi(~time * origin + origin * diff + year)p(~time + year),33,13370.63576,53.17051486,2.84E-12,13304.516
24,~time * origin * ss + year,~time + year,Phi(~time * origin * ss + year)p(~time + year),49,13376.12572,58.66048239,1.82E-13,13277.864
26,~time * origin + year + origin * ss,~time + year,Phi(~time * origin + year + origin * ss)p(~time + year),33,13386.21076,68.74551486,1.18E-15,13320.091
21,~time + origin * dis + year,~time + year,Phi(~time + origin * dis + year)p(~time + year),25,13390.02035,72.55510634,0,13339.951
23,~time + origin + year + dis,~time + year,Phi(~time + origin + year + dis)p(~time + year),24,13390.45001,72.98476845,0,13342.386
9,~time * origin * dis,~time + year,Phi(~time * origin * dis)p(~time + year),51,13392.15133,74.68609155,0,13289.868
11,~time * origin + year,~time + year,Phi(~time * origin + year)p(~time + year),31,13392.52187,75.05662801,0,2857.0459
5,~time + dis + year,~time + year,Phi(~time + dis + year)p(~time + year),23,13394.60789,77.14264449,0,13348.549
16,~time + origin * diff + year,~time + year,Phi(~time + origin * diff + year)p(~time + year),25,13403.87035,86.40510634,0,13353.801
7,~time * origin * diff,~time + year,Phi(~time * origin * diff)p(~time + year),47,13416.01197,98.54673236,0,13321.771
25,~time + origin * ss + year,~time + year,Phi(~time + origin * ss + year)p(~time + year),25,13420.25735,102.7921063,0,13370.188
18,~time + origin + year + diff,~time + year,Phi(~time + origin + year + diff)p(~time + year),24,13421.54901,104.0837685,0,13373.485
12,~time + origin + year,~time + year,Phi(~time + origin + year)p(~time + year),23,13426.33389,108.8686445,0,2906.9052
27,~time + origin + year + ss,~time + year,Phi(~time + origin + year + ss)p(~time + year),24,13427.63901,110.1737685,0,13379.575
29,~time + year + ss,~time + year,Phi(~time + year + ss)p(~time + year),23,13433.22489,115.7596445,0,13387.166
30,~time + year + ss,~time + year,Phi(~time + year + ss)p(~time + year),23,13433.22489,115.7596445,0,13387.166
14,~time * origin * ss,~time + year,Phi(~time * origin * ss)p(~time + year),47,13438.53697,121.0717324,0,13344.296
6,~time * origin,~time + year,Phi(~time * origin)p(~time + year),29,13454.34584,136.8805978,0,2922.8836
8,~time + origin * diff,~time + year,Phi(~time + origin * diff)p(~time + year),23,13461.80189,144.3366445,0,13415.743
15,~time + origin * ss,~time + year,Phi(~time + origin * ss)p(~time + year),23,13480.83789,163.3726445,0,13434.779
13,~time + origin,~time + year,Phi(~time + origin)p(~time + year),21,13488.22928,170.7640382,0,2972.8104
10,~time + origin * dis,~time + year,Phi(~time + origin * dis)p(~time + year),23,13488.86589,171.4006445,0,13442.807
4,~time + dis,~time + year,Phi(~time + dis)p(~time + year),21,13504.65628,187.1910382,0,13462.607
3,~time + ss,~time + year,Phi(~time + ss)p(~time + year),21,13504.77128,187.3060382,0,13462.722
28,~time + ss,~time + year,Phi(~time + ss)p(~time + year),21,13504.77128,187.3060382,0,13462.722
2,~origin + year + dis,~time + year,Phi(~origin + year + dis)p(~time + year),16,13851.62901,534.1637638,0,13819.6
1,~1,~time + year,Phi(~1)p(~time + year),12,13943.12763,625.6623902,0,3445.7409
