"","estimate","se","lcl","ucl","fixed","note"
"Phi ghatchery2010 c1 a0 t1",1,0,1,1,"     ",""
"Phi ghatchery2010 c1 a1.9 t2.9",0.9923415,0.0011477,0.9897305,0.9942925,"     ",""
"Phi ghatchery2010 c1 a8.81 t9.81",0.9966362,0.0006813459,0.9949984,0.997739,"     ",""
"Phi ghatchery2010 c1 a17.14 t18.14",0.9953927,0.000839272,0.993418,0.9967769,"     ",""
"Phi ghatchery2010 c1 a24.84 t25.84",0.9982627,0.0005674003,0.9967063,0.9990843,"     ",""
"Phi ghatchery2010 c1 a30.63 t31.63",0.9975975,0.0008573636,0.9951682,0.9988069,"     ",""
"Phi ghatchery2010 c1 a34.5 t35.5",0.9854571,0.001903,0.9812152,0.9887521,"     ",""
"Phi ghatchery2010 c1 a40.93 t41.93",0.9820734,0.0028621,0.975511,0.9869008,"     ",""
"Phi ghatchery2010 c1 a44.63 t45.63",0.9827215,0.0018615,0.9786681,0.9860157,"     ",""
"Phi ghatchery2010 c1 a60.63 t61.63",0.979794,0.0020705,0.9753106,0.983477,"     ",""
"Phi gwild2010 c1 a0 t1",1,0,1,1,"     ",""
"Phi gwild2010 c1 a1.9 t2.9",0.9907812,0.0013203,0.9877985,0.9930398,"     ",""
"Phi gwild2010 c1 a8.81 t9.81",0.9959473,0.0008012873,0.9940311,0.99725,"     ",""
"Phi gwild2010 c1 a17.14 t18.14",0.9944505,0.0009814996,0.9921542,0.9960774,"     ",""
"Phi gwild2010 c1 a24.84 t25.84",0.9979062,0.0006777638,0.9960532,0.9988902,"     ",""
"Phi gwild2010 c1 a30.63 t31.63",0.9971049,0.0010252,0.9942095,0.9985546,"     ",""
"Phi gwild2010 c1 a34.5 t35.5",0.9825188,0.0021652,0.9777283,0.9862933,"     ",""
"Phi gwild2010 c1 a40.93 t41.93",0.9784664,0.0033073,0.9709346,0.9840784,"     ",""
"Phi gwild2010 c1 a44.63 t45.63",0.9792422,0.0020523,0.9748142,0.9829053,"     ",""
"Phi gwild2010 c1 a60.63 t61.63",0.9757396,0.0022691,0.9708715,0.9798111,"     ",""
"Phi ghatchery2011 c1 a0 t1",1,0,1,1,"     ",""
"Phi ghatchery2011 c1 a1.9 t2.9",0.9968111,0.0004703384,0.9957428,0.997612,"     ",""
"Phi ghatchery2011 c1 a8.81 t9.81",0.9986029,0.0002804119,0.9979297,0.9990574,"     ",""
"Phi ghatchery2011 c1 a17.14 t18.14",0.998085,0.0003451934,0.9972739,0.9986551,"     ",""
