"","estimate","se","lcl","ucl","fixed","note"
"Phi ghatchery2010 c1 a0 t1",1,0,1,1,"     ",""
"Phi ghatchery2010 c1 a1.9 t2.9",0.9958326,0.0010893,0.9930487,0.9975044,"     ",""
"Phi ghatchery2010 c1 a8.81 t9.81",0.9965062,0.0008145655,0.9944847,0.9977885,"     ",""
"Phi ghatchery2010 c1 a17.14 t18.14",0.9975922,0.0007340493,0.9956259,0.9986758,"     ",""
"Phi ghatchery2010 c1 a24.84 t25.84",0.9999591,0.0001566819,0.9306733,1,"     ",""
"Phi ghatchery2010 c1 a30.63 t31.63",0.999474,0.0004607242,0.9970765,0.9999055,"     ",""
"Phi ghatchery2010 c1 a34.5 t35.5",0.9890888,0.0017988,0.9849367,0.9921056,"     ",""
"Phi ghatchery2010 c1 a40.93 t41.93",0.9787352,0.0038064,0.9698439,0.9850454,"     ",""
"Phi ghatchery2010 c1 a44.63 t45.63",0.9832625,0.0019485,0.9789827,0.9866826,"     ",""
"Phi ghatchery2010 c1 a60.63 t61.63",0.9816921,0.0020298,0.9772592,0.9852739,"     ",""
"Phi gwild2010 c1 a0 t1",1,0,1,1,"     ",""
"Phi gwild2010 c1 a1.9 t2.9",0.9876951,0.0021738,0.9826184,0.9913021,"     ",""
"Phi gwild2010 c1 a8.81 t9.81",0.9979661,0.001112,0.9940714,0.999304,"     ",""
"Phi gwild2010 c1 a17.14 t18.14",0.9920562,0.0017176,0.9878739,0.9948036,"     ",""
"Phi gwild2010 c1 a24.84 t25.84",0.9964755,0.001309,0.9927101,0.9982993,"     ",""
"Phi gwild2010 c1 a30.63 t31.63",0.9982354,0.0014131,0.9915555,0.9996332,"     ",""
"Phi gwild2010 c1 a34.5 t35.5",0.9789299,0.0031864,0.9716899,0.9843481,"     ",""
"Phi gwild2010 c1 a40.93 t41.93",0.9960378,0.0029297,0.9832421,0.9990724,"     ",""
"Phi gwild2010 c1 a44.63 t45.63",0.983012,0.0021677,0.9781975,0.9867777,"     ",""
"Phi gwild2010 c1 a60.63 t61.63",0.9778908,0.0024358,0.9725774,0.9821935,"     ",""
"Phi ghatchery2011 c1 a0 t1",1,0,1,1,"     ",""
"Phi ghatchery2011 c1 a1.9 t2.9",0.9979608,0.0005158433,0.996653,0.9987583,"     ",""
"Phi ghatchery2011 c1 a8.81 t9.81",0.998291,0.0003934366,0.9973171,0.9989118,"     ",""
"Phi ghatchery2011 c1 a17.14 t18.14",0.9988229,0.0003535487,0.9978798,0.9993468,"     ",""
"Phi ghatchery2011 c1 a24.84 t25.84",0.99998,7.64868e-05,0.9649697,1,"     ",""
"Phi ghatchery2011 c1 a30.63 t31.63",0.9997431,0.0002235254,0.9985872,0.9999533,"     ",""
"Phi ghatchery2011 c1 a34.5 t35.5",0.9946425,0.0008604255,0.9926626,0.9960902,"     ",""
"Phi ghatchery2011 c1 a40.93 t41.93",0.9895028,0.0018021,0.9853137,0.9925061,"     ",""
"Phi ghatchery2011 c1 a44.63 t45.63",0.9917569,0.0008730306,0.9898572,0.9933033,"     ",""
"Phi ghatchery2011 c1 a60.63 t61.63",0.9909762,0.0008805181,0.9890763,0.9925482,"     ",""
"Phi gwild2011 c1 a0 t1",1,0,1,1,"     ",""
"Phi gwild2011 c1 a1.9 t2.9",0.9939538,0.001162,0.9911924,0.995853,"     ",""
"Phi gwild2011 c1 a8.81 t9.81",0.9990059,0.0005471873,0.9970786,0.9996621,"     ",""
"Phi gwild2011 c1 a17.14 t18.14",0.9961055,0.0008963532,0.9938882,0.9975203,"     ",""
"Phi gwild2011 c1 a24.84 t25.84",0.998276,0.0006554477,0.9963701,0.999182,"     ",""
"Phi gwild2011 c1 a30.63 t31.63",0.9991376,0.0006946774,0.9958262,0.9998223,"     ",""
"Phi gwild2011 c1 a34.5 t35.5",0.9895999,0.0017817,0.9854595,0.9925703,"     ",""
"Phi gwild2011 c1 a40.93 t41.93",0.9980615,0.0014416,0.9917031,0.9995493,"     ",""
"Phi gwild2011 c1 a44.63 t45.63",0.9916325,0.0012482,0.9887952,0.9937559,"     ",""
"Phi gwild2011 c1 a60.63 t61.63",0.9890812,0.0014525,0.9858345,0.9915901,"     ",""
"Phi ghatchery2012 c1 a0 t1",1,0,1,1,"     ",""
"Phi ghatchery2012 c1 a1.9 t2.9",0.9983367,0.0004170508,0.9972817,0.9989827,"     ",""
"Phi ghatchery2012 c1 a8.81 t9.81",0.9986061,0.0003156467,0.9978277,0.9991059,"     ",""
"Phi ghatchery2012 c1 a17.14 t18.14",0.99904,0.0002859806,0.9982791,0.9994647,"     ",""
