"","estimate","se","lcl","ucl","fixed","note"
"Phi ghatchery2010 c1 a0 t1",0.9999998,0,0.9999998,0.9999998,"     ",""
"Phi ghatchery2010 c1 a1.9 t2.9",0.9985539,0.0008200944,0.9956112,0.9995244,"     ",""
"Phi ghatchery2010 c1 a8.81 t9.81",0.9963959,0.0008378657,0.9943181,0.9977156,"     ",""
"Phi ghatchery2010 c1 a17.14 t18.14",0.9977267,0.0006955404,0.9958612,0.9987524,"     ",""
"Phi ghatchery2010 c1 a24.84 t25.84",0.9999651,0.0001373067,0.9272073,1,"     ",""
"Phi ghatchery2010 c1 a30.63 t31.63",0.99954,0.0004207877,0.9972411,0.9999234,"     ",""
"Phi ghatchery2010 c1 a34.5 t35.5",0.9889773,0.0017694,0.9849108,0.9919568,"     ",""
"Phi ghatchery2010 c1 a40.93 t41.93",0.9816567,0.0036692,0.9728961,0.9876217,"     ",""
"Phi ghatchery2010 c1 a44.63 t45.63",0.9838482,0.0018912,0.979691,0.9871656,"     ",""
"Phi ghatchery2010 c1 a60.63 t61.63",0.9823246,0.0019789,0.9779977,0.985813,"     ",""
"Phi gwild2010 c1 a0 t1",0.9999999,0,0.9999999,0.9999999,"     ",""
"Phi gwild2010 c1 a1.9 t2.9",0.9880955,0.0021174,0.9831439,0.991605,"     ",""
"Phi gwild2010 c1 a8.81 t9.81",0.9977635,0.0010854,0.9942184,0.9991367,"     ",""
"Phi gwild2010 c1 a17.14 t18.14",0.9924928,0.0016232,0.98854,0.9950889,"     ",""
"Phi gwild2010 c1 a24.84 t25.84",0.9965835,0.0012603,0.992968,0.9983432,"     ",""
"Phi gwild2010 c1 a30.63 t31.63",0.9993614,0.001361,0.959915,0.9999902,"     ",""
"Phi gwild2010 c1 a34.5 t35.5",0.9787258,0.0031993,0.9714629,0.9841703,"     ",""
"Phi gwild2010 c1 a40.93 t41.93",0.9961485,0.0027225,0.9847019,0.9990387,"     ",""
"Phi gwild2010 c1 a44.63 t45.63",0.9837096,0.0021081,0.9790187,0.9873653,"     ",""
"Phi gwild2010 c1 a60.63 t61.63",0.9784718,0.0023806,0.9732764,0.9826751,"     ",""
"Phi ghatchery2011 c1 a0 t1",0.9999999,0,0.9999999,0.9999999,"     ",""
"Phi ghatchery2011 c1 a1.9 t2.9",0.999249,0.0004188344,0.9977609,0.9997483,"     ",""
"Phi ghatchery2011 c1 a8.81 t9.81",0.9981263,0.0004243871,0.9970799,0.9987982,"     ",""
"Phi ghatchery2011 c1 a17.14 t18.14",0.9988189,0.0003554812,0.9978701,0.9993454,"     ",""
"Phi ghatchery2011 c1 a24.84 t25.84",0.9999819,7.124453e-05,0.9609209,1,"     ",""
"Phi ghatchery2011 c1 a30.63 t31.63",0.9997612,0.0002171938,0.9985813,0.9999598,"     ",""
"Phi ghatchery2011 c1 a34.5 t35.5",0.9942489,0.0008912665,0.99221,0.9957565,"     ",""
"Phi ghatchery2011 c1 a40.93 t41.93",0.9903955,0.0018259,0.9860693,0.9933872,"     ",""
"Phi ghatchery2011 c1 a44.63 t45.63",0.9915519,0.000893221,0.9896086,0.9931343,"     ",""
"Phi ghatchery2011 c1 a60.63 t61.63",0.9907482,0.0008986728,0.98881,0.9923533,"     ",""
"Phi gwild2011 c1 a0 t1",1,0,1,1,"     ",""
"Phi gwild2011 c1 a1.9 t2.9",0.9937863,0.0011994,0.9909337,0.9957452,"     ",""
"Phi gwild2011 c1 a8.81 t9.81",0.998838,0.0005687411,0.9969696,0.999555,"     ",""
"Phi gwild2011 c1 a17.14 t18.14",0.9960898,0.0008991053,0.9938663,0.9975093,"     ",""
"Phi gwild2011 c1 a24.84 t25.84",0.998224,0.000670606,0.9962797,0.9991531,"     ",""
"Phi gwild2011 c1 a30.63 t31.63",0.9996685,0.0007073292,0.9787176,0.9999949,"     ",""
"Phi gwild2011 c1 a34.5 t35.5",0.988845,0.0018993,0.9844368,0.9920147,"     ",""
"Phi gwild2011 c1 a40.93 t41.93",0.9979975,0.0014238,0.9919575,0.9995036,"     ",""
"Phi gwild2011 c1 a44.63 t45.63",0.9914789,0.0012812,0.9885633,0.9936559,"     ",""
"Phi gwild2011 c1 a60.63 t61.63",0.9887104,0.0015008,0.9853562,0.9913031,"     ",""
"Phi ghatchery2012 c1 a0 t1",0.9999999,0,0.9999999,0.9999999,"     ",""
"Phi ghatchery2012 c1 a1.9 t2.9",0.9993924,0.0003384637,0.9981905,0.9997962,"     ",""
"Phi ghatchery2012 c1 a8.81 t9.81",0.9984839,0.0003386568,0.9976515,0.9990216,"     ",""
"Phi ghatchery2012 c1 a17.14 t18.14",0.9990445,0.0002852999,0.9982848,0.9994678,"     ",""
"Phi ghatchery2012 c1 a24.84 t25.84",0.9999854,5.762295e-05,0.9681692,1,"     ",""
"Phi ghatchery2012 c1 a30.63 t31.63",0.9998068,0.0001758348,0.9988505,0.9999676,"     ",""
"Phi ghatchery2012 c1 a34.5 t35.5",0.9953431,0.0006982055,0.9937537,0.9965295,"     ",""
"Phi ghatchery2012 c1 a40.93 t41.93",0.992217,0.0014572,0.9887732,0.9946102,"     ",""
"Phi ghatchery2012 c1 a44.63 t45.63",0.9931557,0.000676715,0.9916932,0.9943621,"     ",""
"Phi ghatchery2012 c1 a60.63 t61.63",0.9925034,0.0006724449,0.9910635,0.9937127,"     ",""
"Phi gwild2012 c1 a0 t1",1,0,1,1,"     ",""
"Phi gwild2012 c1 a1.9 t2.9",0.994968,0.0008951419,0.9928713,0.9964502,"     ",""
"Phi gwild2012 c1 a8.81 t9.81",0.9990599,0.0004537361,0.9975803,0.9996351,"     ",""
"Phi gwild2012 c1 a17.14 t18.14",0.9968348,0.00068674,0.995159,0.9979318,"     ",""
"Phi gwild2012 c1 a24.84 t25.84",0.998563,0.0005312123,0.9970358,0.9993039,"     ",""
"Phi gwild2012 c1 a30.63 t31.63",0.9997318,0.0005718542,0.9827582,0.9999959,"     ",""
"Phi gwild2012 c1 a34.5 t35.5",0.9909579,0.0013753,0.9878228,0.9932914,"     ",""
"Phi gwild2012 c1 a40.93 t41.93",0.9983796,0.0011446,0.9935468,0.9995946,"     ",""
"Phi gwild2012 c1 a44.63 t45.63",0.9930964,0.0008862107,0.9911235,0.9946332,"     ",""
"Phi gwild2012 c1 a60.63 t61.63",0.9908486,0.0009721406,0.9887327,0.9925701,"     ",""
"p ghatchery2010 c1 a1.9 t2.9",0.9426777,0.0017965,0.9390532,0.946099,"     ",""
"p ghatchery2010 c1 a83.62 t84.62",0.99,0,0.99,0.99,"Fixed",""
